lokacija	broj_soba	kvadratura	sprat	novogradnja	centralno_grejanje	lift	parking	uknjizen	stanje	cena	klasa
Slavija	2	56	III-IV	NE	NE			DA	1	1785.714286	1.7-2K
Vračar-Kalenić pijaca	1	37	I-II	NE	DA			DA	1	1783.783784	1.7-2K
Djeram pijaca 	2	60	I-II	DA	DA	DA	DA	DA	2	1783.333333	1.7-2K
Novi Beograd-Hotel Jugoslavija	2	46	III-IV	DA	DA		DA	DA	2	1782.608696	1.7-2K
Autokomanda	1	32	V+	DA	DA	DA		DA	2	1781.25	1.7-2K
Tašmajdan	1	41	III-IV	NE	DA	DA	NE	DA	1	1780.487805	1.7-2K
Tašmajdan	2	50	I-II	NE	DA		DA	DA		1780	1.7-2K
Učiteljsko naselje	2	45	V+		DA	DA				1777.777778	1.7-2K
Crveni krst	2	58	I-II	DA	DA	DA	DA	DA	3	1775.862069	1.7-2K
Vračar-Hram	4	236	III-IV	NE	DA				2	1775.423729	1.7-2K
Novi Beograd-Hotel Jugoslavija	1	40	V+	NE	DA	DA		DA		1775	1.7-2K
Novi Beograd-Sava Centar	4	100	V+	NE	DA	DA	NE	DA	2	1770	1.7-2K
Crveni krst	1	26	I-II	DA	DA	DA	NE		2	1769.230769	1.7-2K
Beli dvor	3	95	III-IV	DA	DA			DA	2	1768.421053	1.7-2K
Donji Dorćol	2	56	V+	NE	DA	DA		DA	1	1767.857143	1.7-2K
Crveni krst	1	30	V+	DA	DA	DA	DA	DA	1	1766.666667	1.7-2K
Novi Beograd-Opština	1	34	I-II	NE	DA	DA		DA	1	1764.705882	1.7-2K
Novi Beograd-Studentski grad	1	34	I-II		NE	DA	DA	DA	1	1764.705882	1.7-2K
Tašmajdan	1	21	V+	NE	NE	DA	NE	DA	1	1761.904762	1.7-2K
Vračar-Hram	4	105	III-IV	NE	DA			DA	2	1761.904762	1.7-2K
Beli dvor	4	88	I-II		NE			DA	1	1761.363636	1.7-2K
Centar-Stari grad	1	50	V+		DA	DA		DA	1	1760	1.7-2K
Tašmajdan	3	91	V+	NE	DA	DA	NE	DA	0	1758.241758	1.7-2K
Vračar-Hram	4	239	III-IV	DA	DA			NE	2	1757.322176	1.7-2K
Vukov Spomenik	4	70	III-IV	NE	NE			DA	2	1757.142857	1.7-2K
Profesorska kolonija	2	49	I-II		DA			DA		1755.102041	1.7-2K
Centar-Stari grad	2	53	I-II	NE	NE			NE	1	1754.716981	1.7-2K
Slavija	2	53	III-IV	NE	NE	DA		DA	1	1754.716981	1.7-2K
Slavija	2	53	III-IV	NE	DA	DA		DA	2	1754.716981	1.7-2K
Kalemegdan	3	77	V+	NE	DA	DA		DA	1	1753.246753	1.7-2K
Djeram pijaca 	3	102	I-II	DA	DA	DA	DA	DA	1	1750	1.7-2K
Djeram pijaca 	3	65	I-II	DA	DA	DA	DA	DA	2	1750	1.7-2K
Djeram pijaca 	3	132	III-IV	DA	DA	DA	DA	DA	2	1750	1.7-2K
Donji Dorćol	2	32	I-II	NE	NE	NE		DA	1	1750	1.7-2K
Donji Dorćol	2	68	V+	NE	DA	DA		DA		1750	1.7-2K
Golf naselje	4	100	I-II	NE	DA					1750	1.7-2K
Golf naselje	3	80	III-IV		DA	DA			1	1750	1.7-2K
Slavija	4	200	I-II	NE	NE	DA		DA	2	1750	1.7-2K
Vračar-Kalenić pijaca	4	100	I-II	NE	DA			DA	2	1750	1.7-2K
Vukov Spomenik	2	52	I-II	DA	DA	DA	NE	DA	2	1750	1.7-2K
Crveni krst	3	80	I-II	DA	DA	DA	NE	DA		1700	1.5-1.7K
Dušanovac	3	75	P		DA	DA	DA	DA		1700	1.5-1.7K
Kalemegdan	4	100	III-IV	NE	DA			DA	1	1700	1.5-1.7K
Lekino Brdo	1	34	I-II	DA	DA			DA	1	1700	1.5-1.7K
Medaković 3	1	40	III-IV		DA					1700	1.5-1.7K
Profesorska kolonija	1	36	III-IV	NE	DA	DA		DA		1700	1.5-1.7K
Profesorska kolonija	1	40	III-IV	NE	DA			DA	1	1700	1.5-1.7K
